id,Product,ProductCategory,SalesRep,Units,Cost,Region
1,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,Muhammed MacIntyre,3,38.94,Nunavut
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Barry French,293,208.16,Nunavut
3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Barry French,293,8.69,Nunavut
4,R380,Telephones and Communication,Clay Rozendal,483,195.99,Nunavut
5,Holmes HEPA Air Purifier,Appliances,Carlos Soltero,515,21.78,Nunavut
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Carlos Soltero,515,6.64,Nunavut
7,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Carl Jackson,613,7.3,Nunavut
8,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,Carl Jackson,613,42.76,Nunavut
9,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Monica Federle,643,138.14,Nunavut
10,Xerox 198,Paper,Dorothy Badders,678,4.98,Nunavut
11,Xerox 1980,Paper,Neola Schneider,807,4.28,Nunavut
12,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,Neola Schneider,807,3.95,Nunavut
13,Holmes HEPA Air Purifier,Appliances,Carlos Daly,868,21.78,Nunavut
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Computer Peripherals,Carlos Daly,868,47.98,Nunavut
15,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Binders and Binder Accessories,Claudia Miner,933,5.28,Nunavut
16,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,Neola Schneider,995,39.89,Nunavut
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Allen Rosenblatt,998,15.74,Nunavut
18,Hon 4-Shelf Metal Bookcases,Bookcases,Sylvia Foulston,1154,100.98,Nunavut
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,Sylvia Foulston,1154,71.37,Nunavut
20,g520,Telephones and Communication,Jim Radford,1344,65.99,Nunavut
21,LX 788,Telephones and Communication,Jim Radford,1344,155.99,Nunavut
22,Avery 52,Labels,Carlos Soltero,1412,3.69,Nunavut
23,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,Carlos Soltero,1412,4.71,Nunavut
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Carl Ludwig,1539,15.99,Nunavut
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,Carl Ludwig,1539,4.89,Nunavut
26,Newell 335,Pens & Art Supplies,Don Miller,1540,2.88,Nunavut
27,SANFORD Liquid Accent™ Tank-Style Highlighters,Pens & Art Supplies,Annie Cyprus,1702,2.84,Nunavut
28,Canon PC940 Copier,Copiers and Fax,Carl Ludwig,1761,449.99,Nunavut
29,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,Carlos Soltero,1792,13.48,Nunavut
30,Col-Erase® Pencils with Erasers,Pens & Art Supplies,Grant Carroll,2275,6.08,Nunavut
